ID_OKE;wojewodztwo;powiat;gmina;typ_gminy;kod_teryt_gminy;RSPO;ID_szkoły;nazwa_szkoly;miejscowosc;ulica_nr;typ_placowki;rodzaj_placowki;czy_publiczna;O_otrzymali_swiadectwo_dojrzałosci;O_liczba_zdających;O_zdawalnosc;PPP_liczba_zdajacych;PPP_liczba_laureatow;PPP_zdawalnosc;PPP_mean;PPP_std;PPP_median;PPP_mode;PPU_liczba_zdajacych;PPU_zdawalnosc;PPU_mean;APP_liczba_zdajacych;APP_liczba_laureatow;APP_zdawalnosc;APP_mean;APP_std;APP_median;APP_mode;APU_liczba_zdajacych;APU_zdawalnosc;APU_mean;MP_liczba_zdajacych;MP_liczba_laureatow;MP_zdawalnosc;MP_mean;MP_std;MP_median;MP_mode;AR_liczba_zdajacych;AR_liczba_laureatow;AR_mean;AR_std;AR_median;AR_mode;PR_liczba_zdajacych;PR_liczba_laureatow;PR_mean;PR_std;PR_median;PR_mode
6;Wielkopolskie;pilski;Piła;gmina miejska;3019011;18706;301901-1210C;I LICEUM OGÓLNOKSZTAŁCĄCE IM. MARII SKŁODOWSKIEJ - CURIE W PILE;Piła;ul. Wincentego Pola 11;liceum;dla młodzieży;Tak;195;200;97.5;200;1;100;72.305;12.88533954;73;63;200;99.5;65.14141414;200;;99.5;90.43;13.64716454;96;100;200;99;80.04020101;200;;99;73.08;21.60540673;76;100;172;;73.52906977;22.18590253;79;95;99;1;55.65306122;28.71290048;58.5;3
6;Wielkopolskie;pilski;Piła;gmina miejska;3019011;275945;301901-167NR;BRANŻOWA SZKOŁA II STOPNIA NR 4 W PILE;Piła;ul. Kilińskiego 16;branzowa;nie dotyczy;Tak;0;5;0;5;;100;40.8;5.9126982;42;;5;80;30;5;;60;40.8;22.88580346;33;;5;100;48.4;5;;0;16.8;5.741080038;16;;1;;;;;;1;;;;;
6;Wielkopolskie;pilski;Piła;gmina miejska;3019011;12219;301901-2130W;TECHNIKUM ZAWODOWE;Piła;ul. Warsztatowa 6;technikum;dla młodzieży;Nie;34;51;66.66666667;53;;90.19607843;47.96153846;16.16139933;51;42;52;100;65.92156863;53;;88.23529412;58.88461538;27.33668558;61;35;53;94.11764706;62.01923077;53;;66.66666667;36.96153846;17.57835375;32;28;19;;56.52631579;28.20296442;58;88;;;;;;
6;Wielkopolskie;pilski;Piła;gmina miejska;3019011;14100;301901-223NE;TECHNIKUM TEB EDUKACJA W PILE;Piła;ul. Śródmiejska 16;technikum;dla młodzieży;Nie;11;17;64.70588235;17;;82.35294118;44.11764706;16.7819313;42;38;17;82.35294118;43.17647059;17;;94.11764706;80.05882353;19.30397883;90;63;17;100;76.23529412;17;;70.58823529;31.52941176;11.51018806;30;16;14;;60.78571429;20.64038542;68.5;70;2;;;;;
6;Wielkopolskie;pilski;Piła;gmina miejska;3019011;66183;301901-4310Y;"ZAOCZNE LICEUM OGÓLNOKSZTAŁCĄCE ""COSINUS"" W PILE";Piła;ul. Bydgoska 23;liceum;dla dorosłych;Nie;5;24;20.83333333;27;;70.83333333;37.66666667;20.3069045;40;47;24;75;46.08333333;25;;63.63636364;45.56;30.41326027;37;93;23;86.36363636;53.56521739;27;;33.33333333;26.2962963;19.11914847;20;10;10;;58.9;27.56610237;63.5;;4;;;;;
6;Wielkopolskie;pilski;Piła;gmina miejska;3019011;78961;301901-5410A;"LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH ""ŻAK"" W PILE";Piła;pl. plac Konstytucji 3 Maja 8;liceum;dla dorosłych;Nie;1;3;;3;;;;;;;3;;;3;;;;;;;3;;;3;;;;;;;1;;;;;;;;;;;
6;Wielkopolskie;pilski;Piła;gmina miejska;3019011;12162;301901-60105;LICEUM OGÓLNOKSZTAŁCACE;Piła;ul. Warsztatowa 6;liceum;dla młodzieży;Nie;14;24;58.33333333;24;;95.83333333;57.16666667;15.5179108;58;58;24;100;68.58333333;24;;75;58.95833333;27.51587294;62.5;20;24;87.5;62.29166667;24;;62.5;46;25;42;18;11;;55.90909091;19.71365261;58;;;;;;;
6;Wielkopolskie;pilski;Piła;gmina miejska;3019011;62131;301901-6110U;LICEUM OGÓLNOKSZTAŁCĄCE MISTRZOSTWA SPORTOWEGO W PIŁCE SIATKOWEJ W PILE;Piła;ul. Wincentego Pola 11;liceum;dla młodzieży;Tak;16;16;100;16;;100;69.625;11.32406177;71;68;16;100;61.125;16;;100;83.4375;12.75229759;89;93;16;100;84;16;;100;71.75;14.21047149;72;72;16;;55.8125;23.10362188;60.5;38;4;;;;;
6;Wielkopolskie;pilski;Wyrzysk;miasto;3019084;105229;301908-0633D;TECHNIKUM W WYRZYSKU;Wyrzysk;ul. Wiejska 1;technikum;dla młodzieży;Tak;5;10;50;10;;80;39.6;14.03709372;37.5;32;10;100;94.7;10;;80;63.5;33.60729088;73.5;92;10;100;76.9;10;;50;37;19.10497317;35;16;9;;49.22222222;32.80846022;67;;;;;;;
6;Wielkopolskie;pleszewski;Pleszew;miasto;3020064;14919;302006-01150;I LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W PLESZEWIE;Pleszew;ul. Poznańska 36;liceum;dla dorosłych;Tak;1;10;10;10;;40;28.1;17.92456415;28;28;10;100;37.7;4;;;;;;;4;;;10;;10;14;8.579044236;12;6;1;;;;;;;;;;;
6;Wielkopolskie;pleszewski;Pleszew;miasto;3020064;55781;302006-0235B;TECHNIKUM NR 1 W PLESZEWIE;Pleszew;ul. Zielona 3;technikum;dla młodzieży;Tak;75;110;68.18181818;112;;97.27272727;53.32142857;15.74416802;52.5;67;111;96.36363636;60.10810811;111;;82.56880734;61.85585586;29.51647787;73;97;111;98.16513761;73.2972973;112;;73.63636364;40.76785714;19.10543217;38;20;58;;49.63793103;23.84338141;46.5;52;9;;18.66666667;28.55015081;0;0
6;Wielkopolskie;pleszewski;Pleszew;obszar wiejski;3020065;10480;302006-04324;TECHNIKUM IM. PŁK. LUDWIKA BOCIAŃSKIEGO W MARSZEWIE;Marszew;22;technikum;dla młodzieży;Tak;28;42;66.66666667;42;;90.47619048;51.95238095;16.69039128;52.5;42;42;100;51.88095238;40;;80;52.675;26.89645655;47;47;40;100;66.15;42;;73.80952381;41.04761905;19.93913642;39;16;10;;60;19.45250627;56;;;;;;;
6;Wielkopolskie;pleszewski;Pleszew;miasto;3020064;9327;302006-0510H;I LICEUM OGÓLNOKSZTAŁCĄCE IM. ST. STASZICA W PLESZEWIE;Pleszew;ul. Poznańska 38;liceum;dla młodzieży;Tak;66;72;91.66666667;72;;100;69.43055556;14.86310345;72;72;72;100;71.11111111;71;;98.5915493;79.64788732;20.62754796;87;100;71;100;92.15492958;72;;91.66666667;60.44444444;24.15280573;58;100;60;;57.95;23.41753261;55;50;19;;39.73684211;26.62377668;43;3
6;Wielkopolskie;pleszewski;Pleszew;miasto;3020064;129409;302006-18107;NIEPUBLICZNE LICEUM OGÓLNOKSZTAŁCĄCE W PLESZEWIE;Pleszew;ul. Bolesława Krzywoustego 4;liceum;dla młodzieży;Nie;27;27;100;27;;100;65.59259259;11.16628278;62;62;27;100;86.85185185;27;;100;91.59259259;11.84235731;97;97;27;100;89.55555556;27;;100;82.14814815;15.8784823;90;90;21;;78.38095238;13.56984118;82;95;5;;38.2;20.51730977;40;40
6;Wielkopolskie;Poznań;Poznań;gmina miejska;3064011;91409;306401-01K01;OKRĘGOWA KOMISJA EGZAMINACYJNA W POZNANIU;Poznań;ul. Gronowa 22;liceum;;;30;48;62.5;53;;87.5;47.28301887;18.58217584;47;38;49;93.75;53.59183673;45;;90;64.86363636;29.89800154;74;87;43;92.5;62.6744186;53;;68.75;33.47169811;20.35960093;28;28;25;;57.4;27.60869428;62;15;9;;13.66666667;19.85503015;3;0
6;Wielkopolskie;Poznań;Poznań;gmina miejska;3064011;91409;306401-01K01;OKRĘGOWA KOMISJA EGZAMINACYJNA W POZNANIU;Poznań;ul. Gronowa 22;technikum;;;1;4;;4;;;;;;;4;;;4;;;;;;;4;;;4;;;;;;;1;;;;;;1;;;;;
6;Wielkopolskie;Poznań;Poznań;gmina miejska;3064011;80335;306401-0533P;ZESPÓŁ SZKÓŁ BUDOWLANYCH - TECHNIKUM IM. ROGERA SŁAWSKIEGO;Poznań;ul. Grunwaldzka 152;technikum;dla młodzieży;Tak;14;32;43.75;32;;93.75;49.53125;12.87192773;51;57;32;93.75;42.3125;32;;87.5;61.59375;24.75865931;66.5;27;32;96.875;63.5;32;;46.875;29.6875;16.89755437;22;18;19;;38.94736842;22.24380146;42;20;3;;;;;
6;Wielkopolskie;Poznań;Poznań;gmina miejska;3064011;88677;306401-06178;XXXI LICEUM OGÓLNOKSZTAŁCĄCE;Poznań;ul. Śniadeckich 54/58;liceum;dla młodzieży;Tak;47;51;92.15686275;51;;100;60.70588235;10.8035835;60;65;51;100;53.03921569;51;;96.07843137;66.78431373;23.73820758;73;95;51;98.03921569;64.31372549;51;;94.11764706;53.84313725;15.76714448;54;40;35;;46.97142857;21.04075734;43;30;22;;19.86363636;14.67928489;23;3
6;Wielkopolskie;Poznań;Poznań;gmina miejska;3064011;125907;306401-06183;XXXVI LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH;Poznań;ul. Śniadeckich 54/58;liceum;dla dorosłych;Tak;3;33;9.090909091;33;;48.48484848;29.72727273;16.63743994;28;13;33;96.96969697;44.42424242;31;;67.74193548;47.16129032;26.08064017;40;15;31;93.5483871;49.03225806;33;;9.090909091;18.36363636;8.534486837;16;12;19;;25.05263158;22.63782044;15;10;2;;;;;
6;Wielkopolskie;Poznań;Poznań;gmina miejska;3064011;88681;306401-0633E;TECHNIKUM EKONOMICZNO-HANDLOWE;Poznań;ul. Śniadeckich 54/58;technikum;dla młodzieży;Tak;150;173;86.70520231;176;;97.10982659;51.24431818;13.99035673;50;42;173;100;56.21965318;174;;94.15204678;70.15517241;24.28362231;77;93;172;97.66081871;69.33139535;175;;90.1734104;47.49714286;18.44896413;46;38;143;;46.77622378;23.73525883;43;27;15;;14.86666667;17.12645776;6;3
6;Wielkopolskie;Poznań;Poznań;gmina miejska;3064011;92573;306401-0734Y;TECHNIKUM PRZEMYSŁU SPOŻYWCZEGO;Poznań;ul. Warzywna 19;technikum;dla młodzieży;Tak;44;69;63.76811594;69;;86.95652174;45.52173913;16.76574207;48;53;69;98.55072464;62.27536232;68;;86.76470588;62.82352941;28.65050106;72.5;77;68;94.11764706;63.26470588;69;;69.56521739;36.14492754;16.38776086;34;36;39;;40.76923077;26.16756804;30;18;17;;17.41176471;14.0547619;20;0
6;Wielkopolskie;Poznań;Poznań;gmina miejska;3064011;90588;306401-0833S;TECHNIKUM SAMOCHODOWE;Poznań;ul. Ludwika Zamenhofa 142;technikum;dla młodzieży;Tak;49;78;62.82051282;80;;94.87179487;50.3125;13.5042528;50;50;79;89.74358974;48.11392405;80;;87.17948718;65.675;25.80735118;69;83;78;96.15384615;68.48717949;80;;69.23076923;39.675;19.2079248;36;40;48;;52.54166667;24.00690728;49;47;;;;;;
