RSPO;nazwa_szkoly;pelna_nazwa_szkoly;publicznosc_status;wojewodztwo;powiat;gmina;typ_gminy;miejscowosc;rodzaj_miejscowości;ulica_nr;numer_budynku;kod_pocztowy;23.0_O_otrzymali_swiadectwo_dojrzałosci;23.0_O_liczba_zdających;23.0_O_zdawalnosc;23.0_polski_liczba_zdajacych;23.0_polski_liczba_laureatow;23.0_polski_zdawalnosc;23.0_polski_mean;23.0_polski_median;23.0_avg_threshold;23.0_median_threshold;24.0_O_otrzymali_swiadectwo_dojrzałosci;24.0_O_liczba_zdających;24.0_O_zdawalnosc;24.0_polski_liczba_zdajacych;24.0_polski_liczba_laureatow;24.0_polski_zdawalnosc;24.0_polski_mean;24.0_polski_median;24.0_avg_threshold;24.0_median_threshold;25.0_O_otrzymali_swiadectwo_dojrzałosci;25.0_O_liczba_zdających;25.0_O_zdawalnosc;25.0_polski_liczba_zdajacych;25.0_polski_liczba_laureatow;25.0_polski_zdawalnosc;25.0_polski_mean;25.0_polski_median;25.0_avg_threshold;25.0_median_threshold;czy_publiczna;kategoria_uczniow;data_zalozenia;data_rozpoczecia_dzialalnosci;typ_podmiotu_nadrzednego;liczba_uczniow;tereny_sportowe;jezyki_nauczane;czy_zatrudnia_logopede;czy_zatrudnia_psychologa;czy_zatrudnia_pedagoga;oddzialy_podstawowe_wg_specyfiki;oddzialy_dodatkowe
5438;iilomariikonopnickiej;II LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. MARII KONOPNICKIEJ;publiczna;ŚLĄSKIE;Katowice;Katowice;gmina miejska;katowice;miasto;ul bartosza glowackiego 6;"=""4-6""";"=""40-052""";228.0;228.0;100.0;228.0;;100.0;73.12280702;73.0;166.46428571428572;163.0;213.0;213.0;100.0;213.0;;100.0;82.08450704;83.0;;;215.0;216.0;99.53703704;216.0;1.0;100.0;68.22222222;68.0;;;Tak;Dzieci lub młodzież;2010.09.01;2010.09.01;;963.0;boiska uniwersalne/wielozadaniowe;angielski, hiszpański, niemiecki;Nie;Tak;Tak;ogólnodostępny, dwujęzyczny w szkole podstawowej, liceum i technikum;
5448;iilojanasniadeckiegowkielcach;II LICEUM OGÓLNOKSZTAŁCĄCE IM. JANA ŚNIADECKIEGO W KIELCACH;publiczna;ŚWIĘTOKRZYSKIE;Kielce;Kielce;gmina miejska;kielce;miasto;ul jana i jedrzeja sniadeckich 9;"=""9""";"=""25-366""";232.0;232.0;100.0;232.0;;100.0;69.32327586;72.0;;;203.0;203.0;100.0;203.0;;100.0;73.1773399;73.0;156.05;164.85;228.0;228.0;100.0;228.0;;100.0;73.54185022;73.0;161.82857142857142;162.9;Tak;Dzieci lub młodzież;1958.09.01;1958.09.01;;1099.0;;angielski, francuski, łacina, niemiecki, rosyjski;Nie;Tak;Tak;ogólnodostępny, dwujęzyczny w szkole podstawowej, liceum i technikum;
5449;iiiloadamamickiewicza;III LICEUM OGÓLNOKSZTAŁCĄCE IM. ADAMA MICKIEWICZA;publiczna;ŚLĄSKIE;Katowice;Katowice;gmina miejska;katowice;miasto;ul adama mickiewicza 11;"=""11""";"=""40-092""";135.0;135.0;100.0;135.0;1.0;100.0;86.11851852;88.0;169.57500000000002;170.95;145.0;145.0;100.0;145.0;;100.0;77.09655172;78.0;149.96666666666667;154.2;169.0;169.0;100.0;169.0;1.0;100.0;73.40236686;75.0;;;Tak;Dzieci lub młodzież;2002.09.01;2002.09.01;;760.0;boiska do siatkówki, boiska do koszykówki, boiska uniwersalne/wielozadaniowe;angielski, francuski, hiszpański, niemiecki, włoski;Nie;Tak;Tak;ogólnodostępny, międzynarodowy;
5668;ivlogeneralastanislawamaczka;IV LICEUM OGÓLNOKSZTAŁCĄCE IM. GENERAŁA STANISŁAWA MACZKA;publiczna;ŚLĄSKIE;Katowice;Katowice;gmina miejska;katowice;miasto;ul katowicka 54;"=""54""";"=""40-165""";111.0;111.0;100.0;111.0;;100.0;82.63063063;83.0;166.03333333333333;162.1;137.0;137.0;100.0;137.0;;100.0;68.94160584;70.0;144.57999999999998;146.75;167.0;168.0;99.4047619;168.0;;100.0;63.3452381;63.0;;;Tak;Dzieci lub młodzież;2002.09.01;2002.09.01;;533.0;boiska uniwersalne/wielozadaniowe;angielski, hiszpański, niemiecki, włoski;Nie;Tak;Tak;ogólnodostępny;
5738;vlowladyslawabroniewskiego;V LICEUM OGÓLNOKSZTAŁCĄCE IM. WŁADYSŁAWA BRONIEWSKIEGO;publiczna;ŚLĄSKIE;Katowice;Katowice;gmina miejska;katowice;miasto;ul gen zygmunta waltera jankego 65;"=""65""";"=""40-615""";67.0;83.0;80.72289157;83.0;;100.0;57.14457831;57.0;101.06666666666666;101.45;37.0;46.0;80.43478261;47.0;;100.0;68.97826087;71.0;106.55;106.55;52.0;56.0;92.85714286;57.0;;100.0;63.64912281;62.0;;;Tak;Dzieci lub młodzież;2002.09.01;2002.09.01;Zespół szkół i placówek oświatowych;161.0;;angielski, niemiecki, włoski;Nie;Nie;Nie;ogólnodostępny;
5756;ilostefanazeromskiegowkielcach;I LICEUM OGÓLNOKSZTAŁCĄCE IM. STEFANA ŻEROMSKIEGO W KIELCACH;publiczna;ŚWIĘTOKRZYSKIE;Kielce;Kielce;gmina miejska;kielce;miasto;ul ksiedza piotra sciegiennego 15;"=""15""";"=""25-033""";199.0;199.0;100.0;199.0;;100.0;71.69346734;73.0;;;190.0;190.0;100.0;190.0;;100.0;73.82105263;75.0;162.8375;164.225;186.0;186.0;100.0;186.0;1.0;100.0;75.93010753;77.0;155.225;156.875;Tak;Dzieci lub młodzież;1724.04.25;1727.09.04;;825.0;boiska do siatkówki;angielski, hiszpański, niemiecki;Nie;Tak;Tak;ogólnodostępny;
6934;xvlozjednoczonejeuropywgdansku;XV LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. ZJEDNOCZONEJ EUROPY W GDAŃSKU;publiczna;POMORSKIE;Gdańsk;Gdańsk;gmina miejska;gdansk;miasto;ul pilotow 7;"=""7""";"=""80-460""";137.0;137.0;100.0;137.0;;100.0;65.32116788;65.0;158.14000000000001;156.5;152.0;152.0;100.0;152.0;;100.0;63.24503311;62.0;144.89000000000001;144.05;159.0;162.0;98.14814815;162.0;;100.0;65.24223602;65.0;148.45714285714286;148.9;Tak;Dzieci lub młodzież;1991.09.01;1991.09.01;;878.0;bieżnie okólne, inne urządzenia sportowe, boiska uniwersalne/wielozadaniowe;angielski, hiszpański, niemiecki;Nie;Nie;Tak;ogólnodostępny, dwujęzyczny w szkole podstawowej, liceum i technikum;
6954;xixlomarianamokwywgdansku;XIX LICEUM OGÓLNOKSZTAŁCĄCE IM. MARIANA MOKWY W GDAŃSKU;publiczna;POMORSKIE;Gdańsk;Gdańsk;gmina miejska;gdansk;miasto;ul jana pestalozziego 11 13;"=""11/13""";"=""80-445""";167.0;167.0;100.0;167.0;;100.0;69.56024096;71.0;167.74166666666667;168.325;155.0;156.0;99.35897436;156.0;;99.35897436;71.56862745;72.0;158.87142857142857;159.45;149.0;149.0;100.0;149.0;;100.0;67.14189189;67.0;158.52857142857144;161.9;Tak;Dzieci lub młodzież;1992.09.01;1992.09.01;;634.0;boiska do piłki nożnej, boiska uniwersalne/wielozadaniowe;angielski, francuski, niemiecki, rosyjski;Nie;Tak;Nie;ogólnodostępny;
7000;vloadamaasnyka;V LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. ADAMA ASNYKA;publiczna;ZACHODNIOPOMORSKIE;Szczecin;Szczecin;gmina miejska;szczecin;miasto;ul ofiar oswiecimia 14;"=""14""";"=""71-537""";115.0;115.0;100.0;115.0;;100.0;80.05217391;82.0;172.8166666666667;167.75;128.0;128.0;100.0;128.0;;100.0;79.6484375;82.0;172.725;172.075;116.0;116.0;100.0;116.0;1.0;100.0;75.74137931;77.0;171.4625;171.375;Tak;Dzieci lub młodzież;1948.09.01;1948.09.01;;608.0;boiska do piłki nożnej, skocznie, inne urządzenia sportowe, boiska uniwersalne/wielozadaniowe;angielski, niemiecki;Nie;Tak;Tak;ogólnodostępny, dwujęzyczny w szkole podstawowej, liceum i technikum;
7051;vlostefanazeromskiegowgdansku;V LICEUM OGÓLNOKSZTAŁCĄCE IM. STEFANA ŻEROMSKIEGO W GDAŃSKU;publiczna;POMORSKIE;Gdańsk;Gdańsk;gmina miejska;gdansk;miasto;ul polanki 130;"=""130""";"=""80-322""";120.0;120.0;100.0;120.0;3.0;100.0;74.08333333;75.0;173.926;174.05;142.0;142.0;100.0;142.0;1.0;100.0;75.46478873;77.0;168.60999999999999;169.5;150.0;150.0;100.0;150.0;1.0;100.0;70.86666667;72.0;171.58714285714288;171.85;Tak;Dzieci lub młodzież;1965.04.17;1965.09.01;;564.0;skocznie, rzutnie, boiska uniwersalne/wielozadaniowe;angielski, hiszpański, niemiecki;Nie;Tak;Tak;ogólnodostępny, dwujęzyczny w szkole podstawowej, liceum i technikum;
