RSPO;nazwa_szkoly;miejscowosc;wojewodztwo;publicznosc_status;prog;wynik;zdawalnosc;n_zdajacych;res_prog_wynik;res_wynik_zdaw;outlier_score;grupa;kategoria_uczniow;typ_gminy;liczba_uczniow
9283;iloksstanislawakonarskiegowrzeszowie;rzeszow;PODKARPACKIE;publiczna;163.975;75.21019108;100.0;157.0;1.2437174139395353;;;Srodek;Dzieci lub młodzież;gmina miejska;771.0
9686;iiilojanakochanowskiegowkrakowie;krakow nowa huta;MAŁOPOLSKIE;publiczna;166.35;74.17307692;99.35897436;156.0;-0.25148070822021396;;;Srodek;Dzieci lub młodzież;gmina miejska;744.0
10812;vilojanadlugosza;katowice;ŚLĄSKIE;publiczna;68.65;61.0;77.27272727;22.0;5.419569994098836;;;Srodek;Dzieci lub młodzież;gmina miejska;360.0
10830;viiloharcerzyobroncowkatowice;katowice;ŚLĄSKIE;publiczna;117.68333333333332;74.08450704;94.36619718;71.0;9.046652355684884;;;Liderzy;Dzieci lub młodzież;gmina miejska;522.0
10840;viiilomariisklodowskiejcurie;katowice;ŚLĄSKIE;publiczna;139.79999999999998;71.50909091;99.39393939;165.0;2.205429785081435;;;Srodek;Dzieci lub młodzież;gmina miejska;599.0
11182;viiilokomisjiedukacjinarodowejwgdansku;gdansk;POMORSKIE;publiczna;164.40833333333333;71.65714286;100.0;140.0;-2.392911037752782;;;Srodek;Dzieci lub młodzież;gmina miejska;568.0
11305;xviiilojozefawybickiego;szczecin;ZACHODNIOPOMORSKIE;publiczna;74.5875;65.16393443;95.08196721;61.0;8.43829451869945;;;Liderzy;Dzieci lub młodzież;gmina miejska;473.0
11472;loidanutysiedzikownyinki;wroclaw srodmiescie;DOLNOŚLĄSKIE;publiczna;145.98333333333332;73.23484848;100.0;132.0;2.7385617413181507;;;Srodek;Dzieci lub młodzież;gmina miejska;908.0
11473;loxiiboleslawachrobrego;wroclaw stare miasto;DOLNOŚLĄSKIE;publiczna;165.79500000000002;74.38383838;100.0;198.0;0.06632774083185211;;;Srodek;Dzieci lub młodzież;gmina miejska;1092.0
11474;loiiiadamamickiewicza;wroclaw srodmiescie;DOLNOŚLĄSKIE;publiczna;172.76;74.96575342;100.0;147.0;-0.6951487124071605;;;Srodek;Dzieci lub młodzież;gmina miejska;608.0
11475;loivstefanazeromskiego;wroclaw krzyki;DOLNOŚLĄSKIE;publiczna;154.29444444444445;66.76056338;100.0;142.0;-5.3387493408830125;;;Srodek;Dzieci lub młodzież;gmina miejska;958.0
11476;loviboleslawaprusa;wroclaw fabryczna;DOLNOŚLĄSKIE;publiczna;157.07999999999998;70.58196721;99.18699187;123.0;-2.0546163848640475;;;Srodek;Dzieci lub młodzież;gmina miejska;628.0
11477;loviikrzysztofakamilabaczynskiego;wroclaw fabryczna;DOLNOŚLĄSKIE;publiczna;163.68333333333334;71.28178694;100.0;291.0;-2.6284308008829527;;;Srodek;Dzieci lub młodzież;gmina miejska;1405.0
11478;loviiiboleslawakrzywoustego;wroclaw fabryczna;DOLNOŚLĄSKIE;publiczna;166.865;81.17613636;100.0;176.0;6.65224684103778;;;Srodek;Dzieci lub młodzież;gmina miejska;1008.0
11479;loxstefaniisempolowskiej;wroclaw psie pole;DOLNOŚLĄSKIE;publiczna;150.15;66.94886364;99.43181818;176.0;-4.351079172646337;;;Srodek;Dzieci lub młodzież;gmina miejska;1112.0
11480;loxvmjrpiotrawysockiego;wroclaw fabryczna;DOLNOŚLĄSKIE;publiczna;111.75714285714284;57.50980392;88.0794702;153.0;-6.3850222111165;;;Srodek;Dzieci lub młodzież;gmina miejska;1233.0
11481;loxviiagnieszkiosieckiej;wroclaw stare miasto;DOLNOŚLĄSKIE;publiczna;143.61666666666667;71.75595238;100.0;168.0;1.7161422913299589;;;Srodek;Dzieci lub młodzież;gmina miejska;864.0
11589;xxvlojozefawybickiego;wawer;MAZOWIECKIE;publiczna;154.61999999999998;67.37962963;99.07407407;108.0;-4.782475418795414;;;Srodek;Dzieci lub młodzież;gmina miejska;658.0
11761;viiilokrolakazimierzawielkiegowbialymstoku;bialystok;PODLASKIE;publiczna;148.58076923076922;64.07486631;99.46524064;187.0;-6.922407261251706;;;Srodek;Dzieci lub młodzież;gmina miejska;878.0
11780;viilonauczycielitajnegonauczaniawbialymstoku;bialystok;PODLASKIE;publiczna;118.8777777777778;64.31176471;94.11764706;170.0;-0.9564713821849438;;;Srodek;Dzieci lub młodzież;gmina miejska;765.0
11972;xilorotmistrzawitoldapileckiegowbialymstoku;bialystok;PODLASKIE;publiczna;153.92000000000002;66.38297872;100.0;141.0;-5.644112108369399;;;Srodek;Dzieci lub młodzież;gmina miejska;785.0
12059;xiilowbydgoszczy;bydgoszcz;KUJAWSKO-POMORSKIE;publiczna;81.975;51.95;85.0;20.0;-6.200522130439559;;;Srodek;Dzieci lub młodzież;gmina miejska;162.0
12091;xiiilowbialymstokuzespoluszkologolnoksztalcacych1wbialymstoku;bialystok;PODLASKIE;publiczna;59.116666666666674;52.10869565;91.30434783;47.0;-1.6329692586704425;;;Srodek;Dzieci lub młodzież;gmina miejska;327.0
12098;xivloryszardakaczorowskiegowbialymstoku;bialystok;PODLASKIE;publiczna;84.36;47.56363636;81.81818182;110.0;-11.046898507176827;;;Maruderzy;Dzieci lub młodzież;gmina miejska;547.0
12144;xiilo;rzeszow;PODKARPACKIE;publiczna;85.86666666666667;60.53333333;86.66666667;15.0;1.6321964264776128;;;Srodek;Dzieci lub młodzież;gmina miejska;271.0
12494;ilocyprianakamilanorwidawbydgoszczy;bydgoszcz;KUJAWSKO-POMORSKIE;publiczna;154.61666666666667;72.43888889;99.44444444;180.0;0.2774267660637548;;;Srodek;Dzieci lub młodzież;gmina miejska;794.0
12707;vilojanaijedrzejasniadeckichwbydgoszczy;bydgoszcz;KUJAWSKO-POMORSKIE;publiczna;133.50833333333333;74.55782313;100.0;147.0;6.467682676767794;;;Srodek;Dzieci lub młodzież;gmina miejska;724.0
12719;viilojanuszakusocinskiegowbydgoszczy;bydgoszcz;KUJAWSKO-POMORSKIE;publiczna;135.9;66.90654206;100.0;107.0;-1.6448969796878146;;;Srodek;Dzieci lub młodzież;gmina miejska;508.0
12941;xxilosynowpulkowintegracyjnewbydgoszczy;bydgoszcz;KUJAWSKO-POMORSKIE;publiczna;31.4;47.8125;87.5;16.0;-0.5832447046587461;;;Srodek;Dzieci lub młodzież;gmina miejska;129.0
13413;xiilo;szczecin;ZACHODNIOPOMORSKIE;publiczna;162.15;69.43589744;97.43589744;78.0;-4.178574865664018;;;Srodek;Dzieci lub młodzież;gmina miejska;345.0
13671;iiilomikolajakopernikawolsztynie;olsztyn;WARMIŃSKO-MAZURSKIE;publiczna;99.875;54.61956522;100.0;92.0;-6.983463404190957;;;Maruderzy;Dzieci lub młodzież;gmina miejska;455.0
13676;lo;szczecin;ZACHODNIOPOMORSKIE;publiczna;106.40625;78.0;94.44444444;18.0;15.137240479869732;;;Liderzy;Dzieci lub młodzież;gmina miejska;250.0
13730;lo;szczecin;ZACHODNIOPOMORSKIE;publiczna;106.40625;53.51724138;89.28571429;29.0;-9.345518140130267;;;Maruderzy;Dzieci lub młodzież;gmina miejska;211.0
13768;viiilodraemilawarminskiegowbydgoszczy;bydgoszcz;KUJAWSKO-POMORSKIE;publiczna;115.49;63.40277778;97.24137931;145.0;-1.21203234698023;;;Srodek;Dzieci lub młodzież;gmina miejska;760.0
14520;viiilostanislawawyspianskiego;rzeszow;PODKARPACKIE;publiczna;105.42;63.81707317;93.90243902;82.0;1.1445390425771222;;;Srodek;Dzieci lub młodzież;gmina miejska;833.0
15300;ogolnoksztalcacych8wgdanskuxivlojanapawlaii;gdansk;POMORSKIE;publiczna;135.45000000000002;64.83333333;94.87179487;79.0;-3.6313108536996594;;;Srodek;Dzieci lub młodzież;gmina miejska;591.0
15718;ixlobohaterowmontecassino;szczecin;ZACHODNIOPOMORSKIE;publiczna;151.88333333333333;81.17297297;100.0;185.0;9.538709230584445;;;Liderzy;Dzieci lub młodzież;gmina miejska;856.0
15721;xiiilo;szczecin;ZACHODNIOPOMORSKIE;publiczna;162.15;79.76470588;100.0;102.0;6.150233574335971;;;Srodek;Dzieci lub młodzież;gmina miejska;346.0
16275;iiloplkleopoldalisakuli;rzeszow;PODKARPACKIE;publiczna;152.59166666666667;74.78927203;100.0;261.0;3.018386758010493;;;Srodek;Dzieci lub młodzież;gmina miejska;992.0
16276;ivlomikolajakopernika;rzeszow;PODKARPACKIE;publiczna;148.45625;67.94158076;99.65753425;292.0;-3.0316758585797743;;;Srodek;Dzieci lub młodzież;gmina miejska;1088.0
16422;iiilogenjozefasowinskiego;wola;MAZOWIECKIE;publiczna;155.31666666666666;67.65972222;99.30555556;145.0;-4.63675412436227;;;Srodek;Dzieci lub młodzież;gmina miejska;831.0
16423;xiilohenrykasienkiewicza;wola;MAZOWIECKIE;publiczna;162.1875;74.39495798;100.0;119.0;0.7732527696702931;;;Srodek;Dzieci lub młodzież;gmina miejska;581.0
16424;xxivlocyprianakamilanorwida;wola;MAZOWIECKIE;publiczna;157.24375;75.61688312;99.35064935;154.0;2.9487158414291486;;;Srodek;Dzieci lub młodzież;gmina miejska;723.0
16425;xxxlojanasniadeckiego;wola;MAZOWIECKIE;publiczna;161.00333333333333;75.13385827;100.0;127.0;1.7405521158910062;;;Srodek;Dzieci lub młodzież;gmina miejska;823.0
16426;xllostefanazeromskiego;wola;MAZOWIECKIE;publiczna;173.3766666666667;82.76470588;100.0;153.0;6.984862648646086;;;Liderzy;Dzieci lub młodzież;gmina miejska;723.0
16427;xlvloromualdatraugutta;wola;MAZOWIECKIE;publiczna;134.21249999999998;67.93333333;98.33333333;60.0;-0.2926249997322117;;;Srodek;Dzieci lub młodzież;gmina miejska;548.0
16428;lxxxvilobatalionuzoska;wola;MAZOWIECKIE;publiczna;134.95;64.51136364;100.0;88.0;-3.856841814823923;;;Srodek;Dzieci lub młodzież;gmina miejska;530.0
16429;cxixlojackakuronia;wola;MAZOWIECKIE;publiczna;146.60625;75.40243902;100.0;82.0;4.786005698260453;;;Srodek;Dzieci lub młodzież;gmina miejska;503.0
17601;ogolnoksztalcacych10eugeniuszakwiatkowskiegowgdanskuxxiiilo;gdansk;POMORSKIE;publiczna;98.23333333333332;52.0;85.71428571;28.0;-9.286388131048952;;;Maruderzy;Dzieci lub młodzież;gmina miejska;295.0
17874;iiiloproftadeuszakotarbinskiegowzielonejgorze;zielona gora;LUBUSKIE;publiczna;146.1125;75.41666667;100.0;132.0;4.8954665930252474;;;Srodek;Dzieci lub młodzież;gmina miejska;689.0
17878;iiogolnoksztalcaceliceumekologiczneuniieuropejskiejwzespoleszkolekologicznychwzielonejgorze;zielona gora;LUBUSKIE;publiczna;125.39166666666668;66.8961039;97.4025974;77.0;0.37148547885058747;;;Srodek;Dzieci lub młodzież;gmina miejska;542.0
18119;viilo;rzeszow;PODKARPACKIE;publiczna;90.9;52.0625;93.75;16.0;-7.809453440871472;;;Maruderzy;Dzieci lub młodzież;gmina miejska;231.0
18356;ogolnoksztalcacych5ivlomarynarzywojskochronypograniczawgdansku;gdansk;POMORSKIE;publiczna;104.285;58.49152542;84.03361345;119.0;-3.962092792874955;;;Srodek;Dzieci lub młodzież;gmina miejska;748.0
18457;ivlokazimierzawielkiegowbydgoszczy;bydgoszcz;KUJAWSKO-POMORSKIE;publiczna;152.6;72.68456376;100.0;149.0;0.9120711758625646;;;Srodek;Dzieci lub młodzież;gmina miejska;602.0
18579;ogolnoksztalcacych6vilowgdansku;gdansk;POMORSKIE;publiczna;125.05;60.10909091;90.90909091;110.0;-6.349627713084324;;;Srodek;Dzieci lub młodzież;gmina miejska;699.0
18789;lxiiilolajosakossutha;ursynow;MAZOWIECKIE;publiczna;147.13125;76.3;100.0;112.0;5.582306012940933;;;Srodek;Dzieci lub młodzież;gmina miejska;606.0
18942;xivlogomikolajakopernikawgdyni;gdynia;POMORSKIE;publiczna;158.2125;69.4173913;100.0;115.0;-3.4376260157675915;;;Srodek;Dzieci lub młodzież;gmina miejska;642.0
19063;iilomieszkai;szczecin;ZACHODNIOPOMORSKIE;publiczna;176.04;79.95263158;100.0;190.0;3.659091386168001;;;Srodek;Dzieci lub młodzież;gmina miejska;854.0
19073;lxxloaleksandrakaminskiego;ursynow;MAZOWIECKIE;publiczna;166.98;80.125;100.0;120.0;5.578929573396351;;;Srodek;Dzieci lub młodzież;gmina miejska;655.0
20087;viilozofiinalkowskiejwkrakowie;krakow krowodrza;MAŁOPOLSKIE;publiczna;169.3857142857143;68.6;100.0;160.0;-6.410078482108631;;;Srodek;Dzieci lub młodzież;gmina miejska;714.0
20395;xxloboleslawachrobregowwarszawie;praga polnoc;MAZOWIECKIE;publiczna;102.075;49.63636364;90.90909091;22.0;-12.390995391244203;;;Maruderzy;Dzieci lub młodzież;gmina miejska;287.0
20413;viloadamamickiewiczawkrakowie;krakow srodmiescie;MAŁOPOLSKIE;publiczna;171.8777777777778;77.61674009;100.0;228.0;2.125998736986901;;;Srodek;Dzieci lub młodzież;gmina miejska;1007.0
20433;viiilostanislawawyspianskiegowkrakowie;krakow srodmiescie;MAŁOPOLSKIE;publiczna;173.82857142857142;81.3172043;100.0;186.0;5.450198827024124;;;Srodek;Dzieci lub młodzież;gmina miejska;861.0
20580;cxxvlowaldemaramilewicza;wola;MAZOWIECKIE;publiczna;102.3625;63.98214286;87.5;56.0;1.8993315596522606;;;Srodek;Dzieci lub młodzież;gmina miejska;435.0
21092;lxxvilomarszalkajozefapilsudskiego;praga polnoc;MAZOWIECKIE;publiczna;118.20833333333331;60.80869565;93.91304348;115.0;-4.330419699634653;;;Srodek;Dzieci lub młodzież;gmina miejska;735.0
21317;xxviilodrhenrykajordanawkrakowie;krakow krowodrza;MAŁOPOLSKIE;publiczna;161.75833333333333;68.3877551;100.0;98.0;-5.151173534711361;;;Srodek;Dzieci lub młodzież;gmina miejska;869.0
22517;ilomikolajakopernika;lodz polesie;ŁÓDZKIE;publiczna;163.24;74.44761905;100.0;105.0;0.6229103153868749;;;Srodek;Dzieci lub młodzież;gmina miejska;525.0
22518;iilogabrielanarutowicza;lodz widzew;ŁÓDZKIE;publiczna;107.08333333333331;72.64285714;100.0;70.0;9.649503507850511;;;Liderzy;Dzieci lub młodzież;gmina miejska;494.0
22519;iiilotadeuszakosciuszki;lodz srodmiescie;ŁÓDZKIE;publiczna;156.15;71.6509434;100.0;106.0;-0.8062641591551767;;;Srodek;Dzieci lub młodzież;gmina miejska;501.0
22521;ivloemiliisczanieckiej;lodz srodmiescie;ŁÓDZKIE;publiczna;145.8357142857143;64.95505618;98.87640449;89.0;-5.512758172061396;;;Srodek;Dzieci lub młodzież;gmina miejska;580.0
22522;vilojoachimalelewela;lodz gorna;ŁÓDZKIE;publiczna;106.67;60.89361702;96.80851064;94.0;-2.020013929612226;;;Srodek;Dzieci lub młodzież;gmina miejska;639.0
22523;viiiloadamaasnyka;lodz srodmiescie;ŁÓDZKIE;publiczna;134.42000000000002;71.8;100.0;90.0;3.5340195977843507;;;Srodek;Dzieci lub młodzież;gmina miejska;625.0
